antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Stop Kontak (Kemahasiswaan, Baak)'})","frozenset({'Komputer (Kemahasiswaan, Baak)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Komputer (Kemahasiswaan, Baak)'})","frozenset({'Stop Kontak (Kemahasiswaan, Baak)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Perangkat Jaringan (Laboratorium Komputer Jurusan Manajemen Informatika Lantai Dua, Jurusan Manajemen Informatika)'})","frozenset({'Air Conditioner (Laboratorium Komputer Jurusan Manajemen Informatika Lantai Dua, Jurusan Manajemen Informatika)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Air Conditioner (Laboratorium Komputer Jurusan Manajemen Informatika Lantai Dua, Jurusan Manajemen Informatika)'})","frozenset({'Perangkat Jaringan (Laboratorium Komputer Jurusan Manajemen Informatika Lantai Dua, Jurusan Manajemen Informatika)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Kabel Roll (Aula Kpa, Kpa)'})","frozenset({'Baterai Aa Abc Alkaline (Aula Kpa, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Baterai Aa Abc Alkaline (Aula Kpa, Kpa)'})","frozenset({'Kabel Roll (Aula Kpa, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Baterai Aa Abc Alkaline (Graha Pendidikan, Kpa)'})","frozenset({'Kabel Roll (Graha Pendidikan, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Kabel Roll (Graha Pendidikan, Kpa)'})","frozenset({'Baterai Aa Abc Alkaline (Graha Pendidikan, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Jaringan Listrik (Ruang Adm. Akademik, Kpa)'})","frozenset({'Lampu Penerangan (Ruang Adm. Akademik, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang Adm. Akademik, Kpa)'})","frozenset({'Jaringan Listrik (Ruang Adm. Akademik, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Ruang Sopir Gedung Parkir Kendaraan Lantai Dasar, Kpa)'})","frozenset({'Jaringan Listrik (Ruang Sopir Gedung Parkir Kendaraan Lantai Dasar, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Jaringan Listrik (Ruang Sopir Gedung Parkir Kendaraan Lantai Dasar, Kpa)'})","frozenset({'Lampu Penerangan (Ruang Sopir Gedung Parkir Kendaraan Lantai Dasar, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Printer (Ruang Keuangan, Kpa)'})","frozenset({'Telepon (Ruang Keuangan, Kpa)'})",0.016666666666666666,0.016666666666666666,0.016666666666666666,1.0,60.0,1.0,0.01638888888888889,inf,1.0000000000000002,1.0,1.0,1.0
