antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Starter Philips (Graha Pendidikan, Kpa)', 'Rumah Downlight (Graha Pendidikan, Kpa)'})","frozenset({'Lampu Penerangan (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Starter Philips (Graha Pendidikan, Kpa)', 'Lampu Penerangan (Graha Pendidikan, Kpa)'})","frozenset({'Rumah Downlight (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Rumah Downlight (Graha Pendidikan, Kpa)', 'Lampu Penerangan (Graha Pendidikan, Kpa)'})","frozenset({'Starter Philips (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Starter Philips (Graha Pendidikan, Kpa)'})","frozenset({'Rumah Downlight (Graha Pendidikan, Kpa)', 'Lampu Penerangan (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Rumah Downlight (Graha Pendidikan, Kpa)'})","frozenset({'Starter Philips (Graha Pendidikan, Kpa)', 'Lampu Penerangan (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Graha Pendidikan, Kpa)'})","frozenset({'Starter Philips (Graha Pendidikan, Kpa)', 'Rumah Downlight (Graha Pendidikan, Kpa)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Kabel Roll (Bengkel Elektro, Jurusan Teknik Elektro)'})","frozenset({'Lampu Penerangan (Bengkel Elektro, Jurusan Teknik Elektro)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Lampu Penerangan (Bengkel Elektro, Jurusan Teknik Elektro)'})","frozenset({'Kabel Roll (Bengkel Elektro, Jurusan Teknik Elektro)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Alat Pendingin 1 (Laboratorium Food And Bavarage Jurusan Bahasa Inggris, Jurusan Bahasa Inggris)'})","frozenset({'Alat Pendingin 2 (Laboratorium Food And Bavarage Jurusan Bahasa Inggris, Jurusan Bahasa Inggris)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
"frozenset({'Alat Pendingin 2 (Laboratorium Food And Bavarage Jurusan Bahasa Inggris, Jurusan Bahasa Inggris)'})","frozenset({'Alat Pendingin 1 (Laboratorium Food And Bavarage Jurusan Bahasa Inggris, Jurusan Bahasa Inggris)'})",0.019230769230769232,0.019230769230769232,0.019230769230769232,1.0,52.0,1.0,0.018860946745562133,inf,1.0000000000000002,1.0,1.0,1.0
